what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1421949911128
ws,sysinfo,,,"gtk",1421949911128
locale,sysinfo,,,"en_US",1421949911128
processors,sysinfo,,,"2",1421949911128
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1421949911128
java.runtime.version,sysinfo,,,"1.6.0_33-b33",1421949911128
java.specification.name,sysinfo,,,"Java Platform API Specification",1421949911128
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421949911128
java.specification.version,sysinfo,,,"1.6",1421949911128
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1421949911128
java.version,sysinfo,,,"1.6.0_33",1421949911128
java.vm.info,sysinfo,,,"mixed mode",1421949911128
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1421949911129
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1421949911129
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1421949911129
java.vm.specification.version,sysinfo,,,"1.0",1421949911129
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1421949911129
java.vm.version,sysinfo,,,"23.25-b01",1421949911129
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1421949911154
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1421949911917
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1421949911930
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1421949912016
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1421949912052
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1421949912819
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1421949912819
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1421949912820
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1421949912820
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1421949912820
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1421949912821
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1421949912995
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1421949913206
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1421949913385
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1421949914160
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1421949914373
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1421949914374
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1421949915006
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1421949915007
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1421949915029
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1421949915064
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1421949915103
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1421949915607
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1421949915673
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1421949915686
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1421949915820
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1421949915859
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1421949916116
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1421949916143
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1421949916181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949916226
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1421949921600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949950367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949957282
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1421949973785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949973802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949976172
error,log,,,"New Project Wizard failed",1421949993765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1421949995766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949995777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421949998621
error,log,,,"New Project Wizard failed",1421950016170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1421950040450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421950040460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421950041553
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421950043515
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1421950043835
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1421950043852
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1421950044138
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1421950044141
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1421950044187
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1421950044199
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1421950044210
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1421950044222
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1421950044233
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1421950044233
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1421950044250
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1421950044275
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1421950044307
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1421950044317
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1421950044330
stopped,bundle,com.android.ide.eclipse.ndk,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ndk",1421950044330
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.5.v201307292155--757759,"overlay.com.android.ide.eclipse.adt.overlay",1421950044340
stopped,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1421950044340
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1421950044348
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1421950044367
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20120130-0943,"org.eclipse.emf.cheatsheets",1421950044380
